session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
609176b76dce19a6eb0921fa,5bac31f3f013b500011f6991,RETURNED,30:51.8,,4375229.517,35,384,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609176c09355231af190b7b9,5c377642bc6444000133aae9,RETURNED,36:45.3,40:20.5,215.256,60,846,5,100,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609176d77e1f8007b30853ed,5bd3ff16b209800001bed096,RETURNED,31:24.0,,4375197.348,41,534,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609176d8236e39ff776a4966,5efe3d722e800832404ef5bb,RETURNED,31:30.8,,4375190.554,49,271,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609176de118a53c199eaee08,5f51119bc8cfea2d859ed1b7,RETURNED,31:26.3,,4375195.086,33,398,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609176f4d138aff8f3de1160,59e39cc9c0d35a0001294f20,RETURNED,31:56.9,,4375164.501,67,1215,5,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609176fe58a43fa4ead89146,5f7de5a004dc7d02a7e0030b,RETURNED,32:13.8,,4375147.634,37,40,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60917761b0cadeea959f3e9a,607594f2998120b2fe02db93,RETURNED,36:53.0,,4374868.429,50,125,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609177aeb537c10bd1c3f81b,60759bfca8132bc9234d927f,RETURNED,44:54.1,,4374387.29,40,105,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609177b3ccccfe763ced1937,601e028aea41df251254119a,RETURNED,34:59.1,,4374982.364,31,167,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609177e48a36b3a04f379395,5febb58d2234a6ccaeee8793,RETURNED,35:54.8,,4374926.695,25,157,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609177faad7f2a985358f17e,58404fd8ad98e40001ce915f,RETURNED,36:17.5,,4374903.93,48,1169,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091782b928d06432f24f663,5c49c25ef2ed2b0001d62a64,RETURNED,41:10.6,,4374610.875,26,316,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091782d0c81514f7ff23bcd,5f2c30b1d689ae0a4e09b401,RETURNED,37:21.5,,4374839.961,41,546,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609178386e243f5f139ed9f0,607bda0222db3d0d5c294ecf,RETURNED,37:50.2,,4374811.262,45,33,1,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6091787557db6573ed14d7b3,5e3df34cfb9ed506f1028bb5,RETURNED,38:13.1,11:17.7,1984.663,40,1151,19,98,,NOCODE,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609178a0451d37d8451bf248,5fe469705312ca1c46a69898,RETURNED,39:00.1,,4374741.473,54,176,5,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609178d1e9ef272e30639476,58d8e8ac58d78900016eada5,RETURNED,39:45.8,,4374695.758,50,1376,7,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609178d2257f7699cb442eb9,5dc71b96d210e45213e92359,RETURNED,39:46.3,,4374695.318,42,634,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609178d377c0e8b42b3d2f20,5d7f598628843a00181eb444,RETURNED,39:58.8,,4374682.746,60,611,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609178f81b540d8b4d8eddca,5e9fd9bac711ec18358b4420,RETURNED,40:28.7,,4374652.901,37,641,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
609178fee4ebff1336fdfd0f,5f3f1c283b11702080d443bb,RETURNED,40:39.3,,4374642.345,38,1000,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
