id,user_id,riddle_1,riddle_2,riddle_3,riddle_4,riddle_5,riddle_6,riddle_7,time
336,489,0.875,30,-1,-1,-1,99,-1,2021-01-17 09:01:48
337,490,0.375,29,-1,-1,-1,99,-1,2021-01-17 10:28:01
338,491,0.875,28,-1,-1,-1,50,-1,2021-01-17 14:58:51
339,492,0.875,28,-1,-1,-1,50,-1,2021-01-17 15:04:44
340,493,0.875,27,-1,-1,-1,50,-1,2021-01-17 17:38:23
341,494,0.875,60,-1,-1,-1,50,-1,2021-01-17 18:50:32
342,497,0.875,30,-1,-1,-1,99,-1,2021-01-17 22:07:17
343,498,0.875,30,-1,-1,-1,99,-1,2021-01-17 22:29:30
344,499,0.875,30,-1,-1,-1,99,-1,2021-01-17 22:50:18
345,501,0.875,30,-1,-1,-1,2,-1,2021-01-18 12:38:53
346,500,0.875,30,-1,-1,-1,2,-1,2021-01-18 12:39:47
347,502,0.875,30,-1,-1,-1,2,-1,2021-01-18 12:42:47
348,503,0.875,30,-1,-1,-1,100,-1,2021-01-18 15:48:17
349,504,0.875,30,-1,-1,-1,100,-1,2021-01-18 15:51:57
350,505,0.125,27,-1,-1,-1,50,-1,2021-01-18 16:22:40
351,506,0.125,28,-1,-1,-1,50,-1,2021-01-18 21:02:07
352,507,0.875,31,-1,-1,-1,99,-1,2021-01-18 23:45:15
353,509,0.875,31,-1,-1,-1,99,-1,2021-01-18 23:45:17
354,510,0.875,29,-1,-1,-1,99,-1,2021-01-19 11:18:33
355,511,0.5,27,-1,-1,-1,1.98,-1,2021-01-20 14:14:51
356,512,0.5,27,-1,-1,-1,1.98,-1,2021-01-20 14:20:42
357,513,0.2,30,-1,-1,-1,99,-1,2021-01-20 16:41:44
358,514,0.5,30,-1,-1,-1,99,-1,2021-01-20 16:45:05
359,515,0.785,28,-1,-1,-1,50,-1,2021-01-20 19:41:34
360,516,0.5,30,-1,-1,-1,50,-1,2021-01-21 13:13:27
361,517,0.5,30,-1,-1,-1,1,-1,2021-01-22 11:30:29
362,518,0.875,28,-1,-1,-1,50,-1,2021-01-22 23:27:26
363,519,0.875,28,-1,-1,-1,50,-1,2021-01-23 01:42:56
364,520,0.5,30,-1,-1,-1,99,-1,2021-01-23 03:34:54
365,521,0.375,28,-1,-1,-1,50,-1,2021-01-23 19:54:31
366,522,0.875,28,-1,-1,-1,50,-1,2021-01-24 00:10:02
367,523,0.875,28,-1,-1,-1,50,-1,2021-01-24 00:16:50
368,524,0.875,28,-1,-1,-1,50,-1,2021-01-24 00:32:26
369,525,0.875,28,-1,-1,-1,50,-1,2021-01-24 00:34:59
370,540,0.875,28,-1,-1,-1,50,-1,2021-01-24 00:37:41
371,541,0.875,28,-1,-1,-1,50,-1,2021-01-24 00:38:29
372,542,0.875,28,-1,-1,-1,50,-1,2021-01-24 00:44:27
373,543,0.875,27,-1,-1,-1,99.01,-1,2021-01-24 10:16:55
374,545,0.875,28,-1,-1,-1,50,-1,2021-01-24 14:38:05
375,547,0.875,27,-1,-1,-1,50,-1,2021-01-24 15:18:50
376,549,0.5,30,-1,-1,-1,100,-1,2021-01-25 09:46:18
377,550,0.125,30,-1,-1,-1,1,-1,2021-01-25 09:49:20
378,551,0.125,30,-1,-1,-1,1,-1,2021-01-25 09:56:19
379,551,0.125,30,-1,-1,-1,1,-1,2021-01-25 09:56:19
380,552,0.125,30,-1,-1,-1,1,-1,2021-01-25 10:04:26
381,553,0.875,28,-1,-1,-1,99,-1,2021-01-25 15:58:12
382,554,0.5,30,-1,-1,-1,99,-1,2021-01-25 20:15:43
383,555,0.875,30,-1,-1,-1,50,-1,2021-01-26 10:49:41
384,556,0.875,28,-1,-1,-1,50,-1,2021-01-26 10:58:07
385,557,0.375,27,-1,-1,-1,99,-1,2021-01-26 11:27:57
386,558,0.375,27,-1,-1,-1,99,-1,2021-01-26 11:33:57
387,559,0.875,28,-1,-1,-1,50,-1,2021-01-26 13:40:45
388,560,0.875,27,-1,-1,-1,50,-1,2021-01-26 15:52:28
389,562,0.875,28,-1,-1,-1,50,-1,2021-01-26 17:48:59
390,561,0.875,28,-1,-1,-1,50,-1,2021-01-26 17:51:02
391,563,0.375,30,-1,-1,-1,99.01,-1,2021-01-26 21:46:28
392,564,0.875,28,-1,-1,-1,50,-1,2021-01-26 21:47:06
393,565,0.875,30,-1,-1,-1,98.989,-1,2021-01-26 21:50:48
394,566,0.875,28,-1,-1,-1,50,-1,2021-01-26 21:55:29
395,567,0.375,30,-1,-1,-1,99.01,-1,2021-01-26 22:00:20
396,569,0.875,28,-1,-1,-1,50,-1,2021-01-26 22:02:33
397,570,0.833333,28,-1,-1,-1,50,-1,2021-01-26 22:18:28
405,579,66,30,-1,-1,-1,1,-1,2021-05-05 01:12:28
406,580,0.5,30,-1,-1,-1,50,-1,2021-05-05 16:28:37
407,581,50,30,-1,-1,-1,90,-1,2021-05-05 16:28:51
408,583,0.5,30,-1,-1,-1,50,-1,2021-05-05 16:30:01
409,583,0.5,30,-1,-1,-1,50,-1,2021-05-05 16:30:06
410,585,0.33,30,-1,-1,-1,99,-1,2021-05-05 16:31:50
411,587,0.5,45,-1,-1,-1,2,-1,2021-05-05 16:33:32
412,588,2,30,-1,-1,-1,99,-1,2021-05-05 16:33:56
413,589,1,31,-1,-1,-1,99,-1,2021-05-05 16:35:15
414,591,0.5,30,-1,-1,-1,20,-1,2021-05-05 16:36:13
415,593,0.333333,30,-1,-1,-1,99,-1,2021-05-05 16:36:27
416,594,0.125,30,-1,-1,-1,99,-1,2021-05-05 16:36:41
417,584,0.125,28,-1,-1,-1,50,-1,2021-05-05 16:37:13
418,598,33,28,-1,-1,-1,98,-1,2021-05-05 16:37:35
419,595,0.333333,30,-1,-1,-1,99,-1,2021-05-05 16:37:43
420,597,0.75,29,-1,-1,-1,1,-1,2021-05-05 16:37:59
421,604,50,6,-1,-1,-1,2,-1,2021-05-05 16:38:15
422,600,1,29,-1,-1,-1,98,-1,2021-05-05 16:38:19
423,586,10,20,-1,-1,-1,1,-1,2021-05-05 16:38:21
424,601,50,10,-1,-1,-1,98,-1,2021-05-05 16:38:32
425,605,50,30,-1,-1,-1,2,-1,2021-05-05 16:38:43
426,603,50,30,-1,-1,-1,99,-1,2021-05-05 16:38:50
427,599,50,30,-1,-1,-1,100,-1,2021-05-05 16:38:55
428,608,33,30,-1,-1,-1,99,-1,2021-05-05 16:39:20
